	CellType	Pneum
BAL103	AM	False
BAL104	CD163	False
BAL11	AM	False
BAL12	AM	False
BAL23	AM	False
BAL27	AM	False
BAL31	AM	True
BAL32	CD163	True
BAL35	AM	False
BAL36	CD163	False
BAL39	AM	False
BAL40	CD163	False
BAL44	AM	False
BAL45	CD163	False
BAL47	AM	False
BAL50	AM	False
BAL54	AM	True
BAL55	CD163	True
BAL56	AM	True
BAL57	CD163	True
BAL62	AM	True
BAL63	CD163	True
BAL64	AM	True
BAL65	CD163	True
BAL75	AM	False
BAL78	CD163	True
BAL79	AM	False
BAL85	AM	True
BAL86	CD163	True
BAL96	AM	False
BAL97	CD163	False
BAL98	AM	False
